Image,Starter Height (Pixels),Bubble Count
image_0001.jpg,232,5
image_0002.jpg,233,3
image_0003.jpg,233,3
image_0004.jpg,233,3
image_0005.jpg,234,6
image_0006.jpg,234,4
image_0007.jpg,235,6
image_0008.jpg,235,5
image_0009.jpg,235,5
image_0010.jpg,236,6
image_0011.jpg,236,5
image_0012.jpg,237,4
image_0013.jpg,238,6
image_0014.jpg,238,5
image_0015.jpg,239,5
image_0016.jpg,239,5
image_0017.jpg,240,5
image_0018.jpg,241,6
image_0019.jpg,242,6
image_0020.jpg,242,7
image_0021.jpg,242,6
image_0022.jpg,243,7
image_0023.jpg,244,7
image_0024.jpg,244,6
image_0025.jpg,245,8
image_0026.jpg,247,9
image_0027.jpg,248,9
image_0028.jpg,249,9
image_0029.jpg,250,9
image_0030.jpg,252,11
image_0031.jpg,253,11
image_0032.jpg,255,12
image_0033.jpg,257,14
image_0034.jpg,259,15
image_0035.jpg,260,17
image_0036.jpg,262,17
image_0037.jpg,264,19
image_0038.jpg,266,19
image_0039.jpg,267,19
image_0040.jpg,270,20
image_0041.jpg,272,18
image_0042.jpg,274,20
image_0043.jpg,277,23
image_0044.jpg,279,22
image_0045.jpg,281,26
image_0046.jpg,284,27
image_0047.jpg,286,27
image_0048.jpg,288,30
image_0049.jpg,291,29
image_0050.jpg,294,35
image_0051.jpg,297,35
image_0052.jpg,300,34
image_0053.jpg,303,34
image_0054.jpg,306,39
image_0055.jpg,309,41
image_0056.jpg,312,39
image_0057.jpg,314,41
image_0058.jpg,317,42
image_0059.jpg,320,43
image_0060.jpg,323,43
image_0061.jpg,324,43
image_0062.jpg,327,45
image_0063.jpg,330,47
image_0064.jpg,332,44
image_0065.jpg,335,47
image_0066.jpg,339,49
image_0067.jpg,342,49
image_0068.jpg,346,48
image_0069.jpg,350,53
image_0070.jpg,352,55
image_0071.jpg,355,54
image_0072.jpg,358,58
image_0073.jpg,361,59
image_0074.jpg,365,66
image_0075.jpg,367,62
image_0076.jpg,370,68
image_0077.jpg,373,70
image_0078.jpg,376,72
image_0079.jpg,378,78
image_0080.jpg,381,73
image_0081.jpg,385,79
image_0082.jpg,388,83
image_0083.jpg,391,88
image_0084.jpg,393,86
image_0085.jpg,393,86
image_0086.jpg,395,92
image_0087.jpg,397,93
image_0088.jpg,399,93
image_0089.jpg,401,96
image_0090.jpg,415,101
image_0091.jpg,418,98
image_0092.jpg,420,100
image_0093.jpg,422,106
image_0094.jpg,425,96
image_0095.jpg,427,104
image_0096.jpg,430,111
image_0097.jpg,432,107
image_0098.jpg,435,109
image_0099.jpg,436,113
image_0100.jpg,438,113
